sep=,
index,date,time,precipitation past hour (ml),atmospheric pressure past hour (mb),max air pressure past hour (mb),min air pressure past hour (mb),solar radiation (KJ/m2),air temperature (instant) (C),dew point temperature (instant) (C),max temperature past hour (C),min temperature past hour (C),max dew point temperature past hour (C),min dew point temperature past hour (C),max relative humid temperature past hour  (%),min relative humid temperature past hour (%),relative humid (% instant),wind direction (radius degrees),wind gust (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
46080,2010-01-01,00:00:00,0,978.2,978.2,976.8,-9999,23.9,21.5,24,23.8,21.6,21.4,87,86,86,360,1.8,0.8,N,TO,PALMAS,A009,-10.18333333,-48.3,280
107400,2010-01-01,00:00:00,0,978.6,978.6,977.9,-9999,23.3,21.8,23.7,23.3,21.8,21.5,91,88,91,183,2.1,1.2,N,TO,PARANA,A010,-12.615,-47.87194443,280
81120,2010-01-01,00:00:00,0,982.1,982.1,981.2,-9999,22.9,22.2,22.9,22.8,22.2,22,96,96,96,74,1.2,0,N,TO,PEIXE,A018,-12.01666666,-48.55,242
8760,2010-01-01,00:00:00,0,978.9,978.9,977.9,-9999,23.2,22,23.4,23.2,22.1,21.9,93,91,93,276,1.4,0,N,TO,GURUPI,A019,-11.74583333,-49.04972221,287
198072,2010-01-01,00:00:00,0,990,990,988.8,-9999,22.6,21.5,22.7,22.6,21.7,21.5,94,93,94,65,2.1,0.7,N,TO,PEDRO AFONSO,A020,-8.9686111,-48.19416666,189
320712,2010-01-01,00:00:00,0,985.2,985.2,984.1,-9999,21.2,20,21.4,21.2,20.3,20,94,93,93,21,1.7,0.9,N,TO,ARAGUAINA,A021,-7.10416666,-48.20111111,226
189312,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,DIANOPOLIS,A038,-11.59416666,-46.84722221,732
151200,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,FORMOSO DO ARAGUAIA,A039,-11.98722221,-49.60833333,220
0,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,TO,ARAGUATINS,A044,-5.6436111,-48.11166666,117
399552,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,AM,MANAUS,A101,-3.10333333,-60.01638888,61.25
63600,2010-01-01,00:00:00,0,989.4,989.4,988.5,-9999,22.1,21.3,22.4,22,21.5,21,95,94,95,179,2,0.1,N,AC,PARQUE ESTADUAL CHANDLESS,A102,-9.3575,-69.92722221,187
54840,2010-01-01,00:00:00,0,984,984.1,983,-9999,25.1,23.1,25.2,25,23.2,23,89,89,89,340,4.2,0,N,AC,RIO BRANCO,A104,-9.95777777,-68.165,220
276912,2010-01-01,00:00:00,0,997,997,995.9,-9999,27.5,23.2,28,27.2,23.2,22.9,79,74,78,42,2.7,1.2,N,AM,BOCA DO ACRE,A110,-8.77666666,-67.33222221,111
311952,2010-01-01,00:00:00,9,1002.3,1002.3,1001.1,-9999,24.7,23.5,28.1,24.7,24.6,23,93,79,93,236,5.2,1.9,N,AM,LABREA,A111,-7.43527777,-64.7886111,64
544,2010-01-01,00:00:00,0,1004.1,1004.1,1002.6,-9999,24.2,22.7,24.2,24,22.8,22.6,92,91,92,145,1.8,1.3,N,AM,HUMAITA,A112,-7.92277777,-63.12138888,72
206832,2010-01-01,00:00:00,0,992.8,992.8,991.9,-9999,24.9,23.2,25.1,24.7,23.3,22.9,91,87,90,168,1.3,0.2,N,AM,APUI,A113,-7.21527777,-59.8886111,160
